fila;clasificacion;score;zona_excel;marca_excel;rs2;rs1;cod_erp;desc_erp;zona_erp;marca_erp;marca_ok;total
6;DUDOSA;77;BARQUISIMETO;THE CHILDREN´S PLACE;"COMERCIAL TCP BARQUISIMETO,C.A.";"JUSTICE BARQUISIMETO, C.A. (CERRADA EN BANCO)";255;"Comercial Fit 2024, C.A.";;MAYORES;NO;1054521.68
32;DUDOSA;79;PTO ORDAZ;SPORTLAND;"DISTRIBUIDORA SPORTLAND PZO 2024, C.A.";;337;Sportland Nacional;;SPORTLAND;SI;4019241.85
206;DUDOSA;79;MARGARITA;ADMINISTRATIVA;"BELLO HORIZONTE, C.A.";;158;"Bello Horizonte2017, C.A._2024";;DISTRIBUIDORAS;NO;12130.13
239;DUDOSA;79;;;"BELLO HORIZONTE, C.A.";;158;"Bello Horizonte2017, C.A._2024";;DISTRIBUIDORAS;NO;
33;DUDOSA;80;PTO ORDAZ;VICTORIA´S SECRET;"SPORT WEAR GROUP PUERTO ORDAZ, C.A";;145;"Sport Wear Group Mgta, C.A.2023";MARGARITA;CALVIN KLEIN;NO;6983801.7
34;DUDOSA;80;PTO ORDAZ;CALVIN KLEIN;"DISTRIBUIDORA SPORTS 2024, C.A";;232;"Distribuidora Sports 2024, C.A.";PUERTO ORDAZ;CALVIN KLEIN;SI;2206795.98
36;DUDOSA;80;PTO ORDAZ;ADMINISTRATIVA;"GD PUERTO ORDAZ, C.A.";;150;"GD Puerto ordaz, C.A";PUERTO ORDAZ;DISTRIBUIDORAS;NO;287819.42
59;DUDOSA;80;MARACAY;WAIKIKI;"SPORTS WW AVIADORES, C.A.";;114;"Sport Eh Aviadores, C.A.2023";MARACAY;ENGLISH HOME;NO;2507990.87
94;DUDOSA;80;PARAGUANA;THE CHILDREN´S PLACE;"TCP PARAGUANA 2024, C.A";;56;"Tcp  Maracaibo, C.A.2023";MARACAIBO;TCP;NO;586204.51
99;DUDOSA;80;PARAGUANA;ADMINISTRATIVA;"ADMINISTRACION PARAGUANA, C.A.";;152;"Administracion Mcbo, C.A.";MARACAIBO;DISTRIBUIDORAS;NO;741202.4
213;DUDOSA;80;FITLAB DE VZLA;ADMINISTRATIVA;"FITLAB DE VZLA, C.A.";"FITLAB DE VZLA, C.A.";156;"FITLAB DE VENEZUELA,C.A";MARGARITA;FITLAB;NO;596648.18
223;DUDOSA;80;;;"SPORT TIME, C.A.";"SPORT TIME, C.A.";165;"Sport  Line, C.A.2024";MARGARITA;VSBA Vsiom;NO;
224;DUDOSA;80;;;GRUPO FITLAB DE VZLA;SR. NABIL;156;"FITLAB DE VENEZUELA,C.A";MARGARITA;FITLAB;NO;
244;DUDOSA;80;;;ADM FITLAB DE VZLA;;156;"FITLAB DE VENEZUELA,C.A";MARGARITA;FITLAB;NO;
7;DUDOSA;81;BARQUISIMETO;REEBOK;"COMERCIAL RBK BARQUISIMETO,C.A.";"TOMMY USA, C.A. (CERRADA EN BANCO)";280;Comercial Bbw Barquisimeto C.A;BARQUISIMETO;BBW;NO;28386.86
56;FUERTE;85;MARACAY;AMERICAN EAGLE;"SPORTS SM MARACAY, C.A.";;105;"Sport Sm Maracay, C.A.2023";MARACAY;AEO;NO;997940.74
62;FUERTE;85;MARACAY;CALVIN KLEIN;"SPORTS CK 2023 MARACAY, C.A.";;233;"Sport Ck Maracay, C.A.";MARACAY;CALVIN KLEIN;SI;1244281.28
212;FUERTE;85;MARGARITA;FITLAB;"SPORTLAB, C.A.";"SPORTLAB, C.A.";84;"Sport lab, C.A. 2023";MARGARITA;FITLAB;SI;1398491.1
25;FUERTE;86;PTO ORDAZ;FITLAB;"FITLAB PUERTO ORDAZ,C.A.";"CLAIRES PZO, C.A (CERRADA EN BANCO)";10;cFITLAB;;;NO;1226717.33
51;FUERTE;86;MARACAY;FITLAB;"FITLAB MARACAY, C.A.";;10;cFITLAB;;;NO;399255.52
52;FUERTE;87;MARACAY;ADIDAS;"SPORT ADIMARACAY, C.A.";"ADIMARACAY, C.A. (CERRADA EN BANCO)";27;"Adimaracay, C.A.2023";MARACAY;ADIDAS;SI;2038286.97
63;FUERTE;87;MARACAY;THE CHILDREN´S PLACE;"SPORTS KIDS MARACAY, C.A.";;267;Sport Kids Maracay;MARACAY;TCP;NO;626374.07
80;FUERTE;87;VALENCIA;LA MARTINA;"INVERSIONES LA MARTINA VALENCIA, C.A";;258;"Inv. La Martina Valencia, C.A.";VALENCIA;LA MARTINA;SI;1855174.83
107;FUERTE;87;CARACAS;INTENZZA;"INT SBL CCS, C.A. (CUENTA CERRADA)";"INVERSIONES ORILLIA, C.A.(CERRADA EN BANCO)";116;"Int Sbl Ccs, C.A. 2023";CARACAS;INTENZZA;SI;0
191;FUERTE;87;MARGARITA;VICTORIA´S SECRET;"VS GROUP MGTA,C.A";;146;"BBW Group Mgta, C.A. 2023";MARGARITA;BBW;NO;3897897.86
163;FUERTE;88;CUMANA;SPORTLAND;"INV. SPORTLAND CNA, C.A";;265;"Inversiones Sportland Cna, C.A";CUMANA;SPORTLAND;SI;1415451.36
41;FUERTE;89;MARACAIBO;VICTORIA´S SECRET;"VICTORIA`S MCBO, C.A.";"VS MARACAIBO, C.A.(CERRADA EN BANCO)";12;cVICTORIA_2021;;;NO;2847463.98
60;FUERTE;89;MARACAY;THE CHILDREN´S PLACE;"SPORTS ADILAND MARACAY, C.A.";;229;"Sport Adiland Maracay, C.A.";MARACAY;TCP;NO;1291805.45
85;FUERTE;89;SAN CRISTOBAL;VICTORIA´S SECRET;"VICTORIA`S SAN CRISTOBAL, C.A.";"VS SAN CRISTOBAL,C.A.(CERRADA EN BANCO)";12;cVICTORIA_2021;;;NO;2165069.45
31;FUERTE;91;PTO ORDAZ;COTTON ON;"COMERCIAL MIST & LOCION PZO, C.A";;367;"COMERCIAL MISTIN & LOCION   PZO, C.";;COTTON ON;SI;2931738.62
5;FUERTE;96;BARQUISIMETO;FITLAB;"COMERCIAL FITLAB BARQUISIMETO,C.A.";"CALGARY, C.A (CERRADA EN BANCO)";79;"Comercial  Fitlab Bqto, C.A.2023";BARQUISIMETO;FITLAB;SI;196787.77
12;FUERTE;96;BARQUISIMETO;CALVIN KLEIN;"SPORT  GRUPO  BARQUISIMETO, C.A.";;130;"Sport Grupo Barquisimeto, C.A. 2023";BARQUISIMETO;CALVIN KLEIN;SI;1055761.93
13;FUERTE;96;BARQUISIMETO;AMERICAN EAGLE;"COMERCIAL BRANDS BARQUISIMETO 2023, C.A.";;261;Comercial Brands Barquisimeto 2023;BARQUISIMETO;AEO;NO;377164.12
16;FUERTE;96;BARQUISIMETO;ARDENE;"FUTWEAR GROUP BARQUISIMETO, C.A.";;284;Futwear Group Barquisimeto C.A;BARQUISIMETO;ARDENE;SI;210287.4
21;FUERTE;96;BARQUISIMETO;ADMINISTRATIVA;"ADMINISTRACION GD BARQUISIMETO, C.A.";;148;Administracion GD Barquisimeto 2023;BARQUISIMETO;DISTRIBUIDORAS;NO;16511.07
